Source,Sample,Class1,Class2,Physical State,Color,Recycled,Alternate names,bigSMILES,CAS number,Material Keywords,reference URL
NIST Standards,N1476LDPE,PE,LDPE,Pellet,Natural,No,"`low density polyethylene','LDPE','polyethylene','1476'","{[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",9002-88-4,"polyolefins','semicrystalline'",https://www-s.nist.gov/srmors/certificates/1476A.pdf
NIST Standards,N1474PE,PE,HDPE,Pellet,Natural,No,"`high density polyethylene','HDPE','polyethylene','1474'",{[][$]CC[$][]},9002-88-4,"polyolefins','semicrystalline','linear','homopolymer'",https://www-s.nist.gov/srmors/certificates/1474b.pdf
NIST Standards,N1473LDPE,PE,LDPE,Pellet,Natural,No,"`low density polyethylene','LDPE','polyethylene','1473'","{[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",9002-88-4,"polyolefins','semicrystalline'",https://www-s.nist.gov/srmors/certificates/1473c.pdf
Commercial Supplier 1,S0081LDPE,PE,LDPE,Pellet,Natural,No,"`low density polyethylene','LDPE','polyethylene'","{[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",9002-88-4,"polyolefins','semicrystalline'",
Commercial Supplier 1,S0036RPP,PP,PP-co-PE,Pellet,Natural,No,"`random polypropylene','PP', 'polypropylene'","{[][$]CC(C)[$],[$]CC[$][]}",9003-07-0,"polyolefins','semicrystalline','copolymer','random'",
Commercial Supplier 1,S0024LDPE,PE,LDPE,Pellet,Natural,No,"`low density polyethylene','LDPE','polyethylene'","{[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",9002-88-4,"polyolefins','semicrystalline'",
Commercial Supplier 1,S0011PP,PP,PP,Pellet,Natural,No,"`polypropylene','PP'",{[][$]CC(C)[$][]},9003-07-0,"polyolefins','semicrystalline','linear','homopolymer'",
Commercial Supplier 1,S0048HDPE,PE,HDPE,Pellet,Natural,No,"`high density polyethylene','HDPE','polyethylene'",{[][$]CC[$][]},9002-88-4,"polyolefins','semicrystalline','linear','homopolymer'",
Commercial Supplier 1,S0052PP,PP,PP-co-PE,Pellet,Natural,No,"`impact polypropylene','PP', 'polypropylene'","{[][$]CC(C)[$],[$]CC[$][]}",9003-07-0,"polyolefins','semicrystalline','copolymer','random'",
Commercial Supplier 1,S0040HDPE,PE,HDPE,Pellet,Natural,No,"`high density polyethylene','HDPE','polyethylene'",{[][$]CC[$][]},9002-88-4,"polyolefins','semicrystalline','linear','homopolymer'",
Commercial Supplier 2,S0084HDPE,PE,HDPE,Powder,Natural,No,"`high density polyethylene','HDPE','polyethylene'",{[][$]CC[$][]},9002-88-4,"polyolefins','semicrystalline','linear','homopolymer'",
Commercial Supplier 3,S0035HDPE,PE,HDPE,Powder,Natural,No,"`high density polyethylene','HDPE','polyethylene'",{[][$]CC[$][]},9002-88-4,"polyolefins','semicrystalline','linear','homopolymer'",
Hawaii Pacific University Polymers Kit,H0001ULDPE,PE,LDPE,Pellet,Natural,No,"`low density polyethylene','LDPE','polyethylene','ULDPE'","{[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",9002-88-4,"polyolefins','semicrystalline'",https://www.hpu.edu/cncs/cmdr/img/polymerkit1.0_marketingbrochure.pdf
Hawaii Pacific University Polymers Kit,H0002LDPE,PE,LDPE,Pellet,Natural,No,"`low density polyethylene','LDPE','polyethylene','LDPE.1'","{[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",9002-88-4,"polyolefins','semicrystalline'",https://www.hpu.edu/cncs/cmdr/img/polymerkit1.0_marketingbrochure.pdf
Hawaii Pacific University Polymers Kit,H0003LDPE,PE,LDPE,Pellet,Natural,No,"`low density polyethylene','LDPE','polyethylene','LDPE.2'","{[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",9002-88-4,"polyolefins','semicrystalline'",https://www.hpu.edu/cncs/cmdr/img/polymerkit1.0_marketingbrochure.pdf
Hawaii Pacific University Polymers Kit,H0004LLDPE,PE,LLDPE,Pellet,Natural,No,"`linear low density polyethylene','LLDPE','polyethylene','LLDPE.1'","{[][$]CC[$],[$]CC({[$][$]C[$][$]}C)[$][]}",9002-88-4,"polyolefins','semicrystalline','copolymer'",https://www.hpu.edu/cncs/cmdr/img/polymerkit1.0_marketingbrochure.pdf
Hawaii Pacific University Polymers Kit,H0005LLDPE,PE,LLDPE,Pellet,Natural,No,"`linear low density polyethylene','LLDPE','polyethylene','LLDPE.2'","{[][$]CC[$],[$]CC({[$][$]C[$][$]}C)[$][]}",9002-88-4,"polyolefins','semicrystalline','copolymer'",https://www.hpu.edu/cncs/cmdr/img/polymerkit1.0_marketingbrochure.pdf
Hawaii Pacific University Polymers Kit,H0006MDPE,PE,MDPE,Pellet,Natural,No,"`mid density polyethylene','MDPE','polyethylene'","{[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",9002-88-4,"polyolefins','semicrystalline'",https://www.hpu.edu/cncs/cmdr/img/polymerkit1.0_marketingbrochure.pdf
Hawaii Pacific University Polymers Kit,H0007HDPE,PE,HDPE,Pellet,Natural,No,"`high density polyethylene','HDPE','polyethylene','HDPE.1'",{[][$]CC[$][]},9002-88-4,"polyolefins','semicrystalline','linear','homopolymer'",https://www.hpu.edu/cncs/cmdr/img/polymerkit1.0_marketingbrochure.pdf
Hawaii Pacific University Polymers Kit,H0008HDPE,PE,HDPE,Pellet,Natural,No,"`high density polyethylene','HDPE','polyethylene','HDPE.2'",{[][$]CC[$][]},9002-88-4,"polyolefins','semicrystalline','linear','homopolymer'",https://www.hpu.edu/cncs/cmdr/img/polymerkit1.0_marketingbrochure.pdf
Hawaii Pacific University Polymers Kit,H0009PP,PP,PP,Pellet,Natural,No,"`polypropylene','PP'",{[][$]CC(C)[$][]},9003-07-0,"polyolefins','semicrystalline','linear','homopolymer'",https://www.hpu.edu/cncs/cmdr/img/polymerkit1.0_marketingbrochure.pdf
Commercial Supplier 2,C0094LDPE,PE,LDPE,Pellet,Natural,No,"`low density polyethylene','LDPE','polyethylene'","{[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",9002-88-4,"polyolefins','semicrystalline'",
Commercial Supplier 2,C0082LDPE,PE,LDPE,Pellet,Natural,No,"`low density polyethylene','LDPE','polyethylene'","{[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",9002-88-4,"polyolefins','semicrystalline'",
Commercial Supplier 2,C0080LDPE,PE,LDPE,Pellet,Natural,No,"`low density polyethylene','LDPE','polyethylene'","{[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",9002-88-4,"polyolefins','semicrystalline'",
Commercial Supplier 2,C0095LDPE,PE,LDPE,Pellet,Natural,No,"`low density polyethylene','LDPE','polyethylene'","{[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",9002-88-4,"polyolefins','semicrystalline'",
Commercial Supplier 2,C0096LDPE,PE,LDPE,Pellet,Natural,No,"`low density polyethylene','LDPE','polyethylene'","{[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",9002-88-4,"polyolefins','semicrystalline'",
Commercial Supplier 2,C0071HDPE,PE,HDPE,Powder,Natural,No,"`high density polyethylene','HDPE','polyethylene'",{[][$]CC[$][]},9002-88-4,"polyolefins','semicrystalline','linear','homopolymer'",
Commercial Supplier 2,C0094HDPE,PE,HDPE,Powder,Natural,No,"`high density polyethylene','HDPE','polyethylene'",{[][$]CC[$][]},9002-88-4,"polyolefins','semicrystalline','linear','homopolymer'",
Commercial Supplier 2,C0030HDPE,PE,HDPE,Powder,Natural,No,"`high density polyethylene','HDPE','polyethylene'",{[][$]CC[$][]},9002-88-4,"polyolefins','semicrystalline','linear','homopolymer'",
Commercial Supplier 2,C0033HDPE,PE,HDPE,Powder,Natural,No,"`high density polyethylene','HDPE','polyethylene'",{[][$]CC[$][]},9002-88-4,"polyolefins','semicrystalline','linear','homopolymer'",
Commercial Supplier 2,C0068HDPE,PE,HDPE,Powder,Natural,No,"`high density polyethylene','HDPE','polyethylene'",{[][$]CC[$][]},9002-88-4,"polyolefins','semicrystalline','linear','homopolymer'",
Commercial Supplier 2,C0070HDPE,PE,HDPE,Powder,Natural,No,"`high density polyethylene','HDPE','polyethylene'",{[][$]CC[$][]},9002-88-4,"polyolefins','semicrystalline','linear','homopolymer'",
Commercial Supplier 3,E0069LLDPE,PE,LLDPE,Pellet,Natural,Yes,"`linear low density polyethylene','LLDPE','polyethylene'","{[][$]CC[$],[$]CC({[$][$]C[$][$]}C)[$][]}",9002-88-4,"polyolefins','semicrystalline','copolymer'",
Commercial Supplier 4,P0055HDPE,PE,HDPE,Pellet,Black,Yes,"`high density polyethylene','HDPE','polyethylene'",{[][$]CC[$][]},9002-88-4,"polyolefins','semicrystalline','linear','homopolymer'",
Commercial Supplier 4,P0066HDPE,PE,HDPE,Pellet,White,Yes,"`high density polyethylene','HDPE','polyethylene'",{[][$]CC[$][]},9002-88-4,"polyolefins','semicrystalline','linear','homopolymer'",
Commercial Supplier 4,P0042LDPE,PE,LDPE,Pellet,Gray,Yes,"`low density polyethylene','LDPE','polyethylene'","{[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",9002-88-4,"polyolefins','semicrystalline'",
Commercial Supplier 4,P0018LDPE,PE,LDPE,Pellet,Natural,Yes,"`low density polyethylene','LDPE','polyethylene'","{[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",9002-88-4,"polyolefins','semicrystalline'",
Commercial Supplier 4,P0002LDPE,PE,LDPE,Pellet,Black,Yes,"`low density polyethylene','LDPE','polyethylene'","{[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",9002-88-4,"polyolefins','semicrystalline'",
Commercial Supplier 4,P0005LDPE,PE,LDPE,Pellet,Natural,Yes,"`low density polyethylene','LDPE','polyethylene'","{[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",9002-88-4,"polyolefins','semicrystalline'",
Commercial Supplier 4,P0060LLDPE,PE,LLDPE,Pellet,Natural,Yes,"`linear low density polyethylene','LLDPE','polyethylene'","{[][$]CC[$],[$]CC({[$][$]C[$][$]}C)[$][]}",9002-88-4,"polyolefins','semicrystalline','copolymer'",
Commercial Supplier 4,P0051LLDPE,PE,LLDPE,Pellet,Natural,Yes,"`linear low density polyethylene','LLDPE','polyethylene'","{[][$]CC[$],[$]CC({[$][$]C[$][$]}C)[$][]}",9002-88-4,"polyolefins','semicrystalline','copolymer'",
Commercial Supplier 3,E0046PP,PP,PP,Pellet,Gray,Yes,"`polypropylene','PP'",{[][$]CC(C)[$][]},9003-07-0,"polyolefins','semicrystalline','linear','homopolymer'",
Commercial Supplier 3,E0035PP,PP,PP,Pellet,Black,Yes,"`polypropylene','PP'",{[][$]CC(C)[$][]},9003-07-0,"polyolefins','semicrystalline','linear','homopolymer'",
Commercial Supplier 2,C0028PE,PE,,Pellet,Natural,,"`polyethylene', 'PE'",{[][$]CC[$][]},9002-88-4,"polyolefins','semicrystalline','linear','homopolymer'",
Commercial Supplier 2,C0079PE,PE,,Pellet,Natural,,"`polyethylene', 'PE'",{[][$]CC[$][]},9002-88-4,"polyolefins','semicrystalline','linear','homopolymer'",